city/id,city/name,city/country,city/coord/lon,city/coord/lat,dt,temp/day,temp/min,temp/max,temp/night,temp/eve,temp/morn,pressure,humidity,weather/id,weather/main,weather/description,weather/icon,speed,deg,clouds,rain,snow
707860,Hurzuf,UA,34.283333,44.549999,1394874000,290.09,280.14,290.09,280.14,287.01,280.15,994.57,73,800,Clear,sky is clear,01d,5.21,230,0,,
707860,Hurzuf,UA,34.283333,44.549999,1394960400,280.23,277.08,282.84,277.08,279.45,281.18,981.46,93,804,Clouds,overcast clouds,04d,5.06,289,88,,
707860,Hurzuf,UA,34.283333,44.549999,1395046800,273.77,272.57,275.85,272.57,274.77,275.85,981.92,93,601,Snow,snow,13d,9.63,297,88,6,3
707860,Hurzuf,UA,34.283333,44.549999,1395133200,283.7,278.18,284.85,279.5,282.81,278.18,993.76,94,802,Clouds,scattered clouds,03d,6.16,243,48,,
707860,Hurzuf,UA,34.283333,44.549999,1395219600,287.73,279.58,289.05,281.1,286.61,279.58,995.07,82,800,Clear,sky is clear,01d,2.4,241,0,,
707860,Hurzuf,UA,34.283333,44.549999,1395306000,287.64,282.66,287.64,282.66,283.59,284.64,1012.82,0,800,Clear,sky is clear,01d,5.77,226,6,,
707860,Hurzuf,UA,34.283333,44.549999,1395392400,286.18,283.36,286.18,283.36,284.26,284.41,998.41,0,501,Rain,moderate rain,10d,11.07,226,87,3.03,
707860,Hurzuf,UA,34.283333,44.549999,1395478800,285.06,276.39,285.06,276.39,280.37,283.21,1001.51,0,500,Rain,light rain,10d,8.19,286,6,2.03,
707860,Hurzuf,UA,34.283333,44.549999,1395565200,287.2,280.71,287.2,282.33,283.97,280.71,1012.44,0,500,Rain,light rain,10d,4.13,189,67,2.59,
707860,Hurzuf,UA,34.283333,44.549999,1395651600,279.79,276.93,281.13,276.93,278.05,281.13,1011.7,0,502,Rain,heavy intensity rain,10d,5.94,78,100,16.25,
707860,Hurzuf,UA,34.283333,44.549999,1395738000,276.38,272.76,276.38,272.76,275.51,275.96,1008.58,0,600,Snow,light snow,13d,7.02,24,100,11.4,0.73
707860,Hurzuf,UA,34.283333,44.549999,1395824400,279.72,275.47,279.72,275.47,276.19,277.62,1015.74,0,500,Rain,light rain,10d,4.54,234,48,2.43,
707860,Hurzuf,UA,34.283333,44.549999,1395910800,283.5,277.14,283.5,277.14,279.2,278.52,1013.91,0,800,Clear,sky is clear,01d,3.56,151,1,,
707860,Hurzuf,UA,34.283333,44.549999,1395997200,286.81,276.25,286.81,276.25,281.31,279.89,1014.77,0,800,Clear,sky is clear,01d,3.67,85,0,,
707860,Hurzuf,UA,34.283333,44.549999,1396083600,288.65,278.79,288.65,278.79,282.21,280.39,1020.57,0,800,Clear,sky is clear,01d,2.33,185,0,,
707860,Hurzuf,UA,34.283333,44.549999,1396170000,278.79,278.79,278.79,278.79,278.79,278.79,1020,0,800,Clear,sky is clear,01ddd,2.28,124,6,,
